Response,Predictor,Estimate,Std.Error,DF,Crit.Value,P.Value,Std.Estimate,""
trout,avg_max_depth,11.022,4.7679,46,2.3117,0.0208,0.8011,*
och,trout,-1.4576,0.0573,46,-25.4177,0,-0.7814,***
och,algae_cpom_wet_wt,2e-4,1e-4,46,3.3021,0.001,0.0433,***
och,avg_max_depth,0.2385,0.1303,46,1.8309,0.0671,0.0679,
och,avg_daily_disch_nr_nrst_gage,-0.1151,0.507,46,-0.227,0.8204,-0.0061,
coll_gath,och,-0.0031,2e-4,46,-13.0001,0,-0.5012,***
coll_gath,trout,0.1234,0.0735,46,1.6771,0.0935,0.0617,
coll_gath,algae_cpom_wet_wt,0.0032,1e-4,46,39.4294,0,0.6289,***
coll_gath,avg_max_depth,0.6354,0.1533,46,4.1451,0,0.1688,***
coll_gath,avg_daily_disch_nr_nrst_gage,3.5897,0.7845,46,4.5758,0,0.1767,***
grazer,trout,-0.1938,0.113,46,-1.715,0.0863,-0.0963,
grazer,och,9e-4,3e-4,46,2.5513,0.0107,0.1425,*
grazer,avg_max_depth,-1.3617,0.2733,46,-4.982,0,-0.3589,***
grazer,algae_cpom_wet_wt,0.0019,2e-4,46,12.4123,0,0.36870000000000003,***
grazer,avg_daily_disch_nr_nrst_gage,-4.1165,1.1471,46,-3.5886,3e-4,-0.2011,***
algae_cpom_wet_wt,avg_daily_disch_nr_nrst_gage,-0.2865,0.9151,46,-0.3131,0.7542,-0.006,
algae_cpom_wet_wt,avg_max_depth,4.9022,0.2622,46,18.6984,0,0.5527,***
algae_cpom_wet_wt,trout,-1.5405,0.1174,46,-13.121,0,-0.3273,***
