code,month,year,burn_debris,avg_daily_disch_nr_nrst_gage,preceding_yr_dry_duration_ys,total_inverts,rarified_taxa,biotic_index,thermal_index,total_amphibians,och,trichoptera,ephemerop,coll_gath,coll_filt,filter_lent,grazer,predator,shredder,trout
bgu,6,2009,2,0.0115,0,787,15.7,2.1137,16.8661,0,261,378,103,101,0,0,127,174,377,brb
ecm,6,2009,0,0.005,0,445,12.1,2.4836,16.0644,18,157,78,20,20,0,0,193,175,73,un
ref,6,2009,0,0.0051,0,750,12.3,2.949,17.078,4,473,111,35,29,0,0,101,512,109,un
rom,6,2009,0,0.0134,0,993,13.1,1.3286,16.5974,1,620,282,76,54,1,0,25,628,282,un
sau,6,2009,2,0.0115,0,628,10.3,4.5777,19.4475,178,228,57,161,164,0,1,356,221,57,brb
sou,6,2009,0,0.0051,0,665,16.9,2.9116,15.9301,4,300,141,184,167,0,0,78,270,138,un
bgu,6,2010,2,0.1084,0.21,2049,7.8,5.3404,17.0604,260,95,19,1911,1921,11,0,267,93,16,brb
csp,6,2010,1,0.0428,0.21,158,12.3,1.8759,16.9441,40,12,16,123,123,6,0,35,24,10,bri
ecm,6,2010,0,0.0675,0.21,427,13.5,2.3488,16.0687,11,179,73,166,165,1,0,23,181,68,un
mrn,6,2010,1,0.1084,0,309,9.8,3.3675,17.2025,41,156,3,120,120,29,0,43,157,1,bri
ral,6,2010,1,0.1084,0,188,10,1.6177,16.7962,1,15,3,142,142,28,0,0,17,2,bri
rau,6,2010,1,0.1084,0,132,14.8,1.8531,16.7337,2,16,1,82,82,16,7,0,22,7,bri
ref,6,2010,0,0.0681,0,655,13.9,3.7711,16.1837,102,370,88,163,164,4,0,113,392,84,un
rom,6,2010,0,0.0429,0,536,14.5,0.4906,15.8768,9,200,242,67,63,7,0,14,222,237,un
sau,6,2010,2,0.1072,0,1021,9.4,5.2445,17.1036,146,102,24,890,890,1,1,143,108,24,brb
sol,6,2010,0,0.0681,0,493,15.7,1.567,16.1809,9,220,121,135,111,3,0,57,210,118,un
sru,6,2010,1,0.1088,0,267,10.8,2.6616,16.665,87,81,2,177,177,0,0,88,88,1,bri
bgu,6,2011,2,0.206,0,875,10.8,1.7646,20.8466,299,97,26,735,738,13,0,299,83,26,brb
csp,6,2011,1,0.0611,0,351,11,1.3579,16.3861,7,32,111,207,206,0,0,2,40,110,bri
ecm,6,2011,0,0.1338,0,350,12.5,2.4946,16.2331,2,171,70,102,96,0,0,13,172,67,un
mrn,6,2011,1,0.206,0,918,8.2,3.5744,17.7657,8,36,27,845,844,3,0,13,27,30,bri
ral,6,2011,1,0.0607,0,361,8.3,0.7561,15.7182,3,73,257,26,26,1,0,2,75,259,bri
rau,6,2011,1,0.0611,0,491,8,1.5464,15.7618,3,90,334,53,54,1,0,9,95,334,bri
ref,6,2011,0,0.1319,0,394,12.6,2.5554,16.082,1,182,112,95,87,1,0,14,183,110,un
rom,6,2011,0,0.0604,0,884,8.2,0.8389,15.7855,1,40,646,187,186,2,0,5,49,643,un
sau,6,2011,2,0.2033,0,1926,10.9,4.7989,19.4226,110,299,21,1546,1552,47,0,114,291,22,brb
sou,6,2011,0,0.1319,0,347,11.6,2.7058,15.6042,7,138,82,117,112,1,0,12,147,82,un
srl,6,2011,2,0.1946,0,918,9.5,5.7636,18.9079,1011,120,8,232,235,2,5,1529,128,8,brb
sru,6,2011,1,0.2067,0,207,9.2,2.3064,16.3474,130,131,31,44,44,0,0,129,129,31,bri
syc,6,2011,1,0.0614,0,420,14,1.7455,18.4159,56,122,23,254,254,0,0,70,119,22,bri
bgu,6,2012,2,0.0072,0,335,11.7,2.9506,17.4474,41,258,52,16,16,0,0,46,259,51,brb
csp,6,2012,1,0.0058,0,521,10.1,1.4096,15.736,1,187,264,61,60,0,0,8,194,258,bri
ecm,6,2012,0,0.0029,0,601,14.3,2.8707,16.0473,0,408,115,66,63,0,0,32,406,100,un
ral,6,2012,1,0.0059,0,645,11.5,2.1555,15.9656,0,149,343,138,118,0,0,43,164,316,bri
rau,6,2012,1,0.0057,0,839,8.1,1.7446,16.0803,3,193,556,28,28,2,0,64,190,555,bri
ref,6,2012,0,0.0028,0,653,12.5,2.8956,16.4904,0,325,209,41,38,0,1,79,330,205,un
rom,6,2012,0,0.0058,0,583,13.3,2.0582,15.8814,5,165,308,44,36,1,0,15,231,304,un
sau,6,2012,2,0.0071,0,479,17.2,3.105,17.7123,21,256,32,23,35,0,0,139,291,31,brb
sol,6,2012,0,0.0028,0,761,12.7,0.5286,16.1164,4,269,322,119,116,0,1,57,272,319,un
srl,6,2012,2,0.0072,0,1448,11,6.5579,19.2632,237,194,71,342,348,0,36,1034,190,70,brb
sru,6,2012,1,0.0072,0,512,10.9,2.5558,16.1581,26,199,234,44,45,0,0,75,186,231,bri
syc,6,2012,1,0.0058,0,698,14.6,2.2446,20.4873,47,215,92,359,359,1,0,68,223,90,bri
bgu,6,2013,2,0.003,0,1037,10.4,3.6834,18.8148,182,351,481,126,126,0,0,231,366,478,brb
csp,6,2013,1,0.004,0.38,592,10.4,1.8679,15.6662,68,269,9,269,254,0,3,123,266,9,bri
mrn,6,2013,1,0.003,0,663,10.3,4.4312,17.3171,1,341,56,12,12,0,110,90,392,57,bri
ral,6,2013,1,0.0039,0,838,9.8,2.7867,15.9618,16,439,341,38,33,0,0,45,437,329,bri
rau,6,2013,1,0.0039,0,1142,6.1,1.9556,15.7349,2,384,739,18,18,0,0,10,377,739,bri
ref,6,2013,0,0.0101,0.19,734,11.8,2.2343,17.0052,2,286,231,60,60,0,8,97,340,231,un
rom,6,2013,0,0.0039,0,5252,13.1,6.4436,18.1568,24,359,92,65,64,1,4591,147,387,84,un
sau,6,2013,2,0.003,0.19,560,8.1,3.5542,19.4753,398,295,0,18,18,0,28,620,293,0,brb
sou,6,2013,0,0.01,0,1001,10.7,2.9258,16.7137,5,369,382,194,196,0,0,33,395,382,un
srl,6,2013,2,0.003,0.19,500,9.4,3.6809,19.0962,332,220,0,40,40,0,32,528,229,0,brb
sru,6,2013,1,0.003,0,582,12.6,2.8664,16.5035,17,306,149,75,75,0,1,60,308,146,bri
syc,6,2013,1,0.004,0,478,11,3.7492,17.3477,110,328,2,40,40,0,4,182,352,3,bri
sys,6,2013,0,0.0039,0,658,9,1.7575,17.2248,1,85,345,15,16,0,93,124,83,343,un
bgu,6,2014,2,0.0046,0,327,9.2,2.1777,19.45,28,220,10,93,93,0,1,31,219,10,brb
ral,6,2014,1,0.0021,0,312,10.3,2.5808,15.945,4,206,72,14,14,0,7,11,208,72,bri
ref,6,2014,0,0.0044,0.19,888,12,3.9417,17.6331,0,320,285,74,74,0,56,112,361,285,un
rom,6,2014,0,0.0021,0,1089,11.3,5.0569,17.6544,26,261,71,88,89,0,544,122,288,71,un
srl,6,2014,2,0.0046,0.19,604,11.2,5.9561,19.4876,209,157,0,55,62,0,50,551,145,0,brb
sru,6,2014,1,0.0046,0,386,12.6,4.6856,16.8955,20,215,12,100,100,0,38,28,218,13,bri
sys,6,2014,0,0.0021,0,259,10.9,2.2048,17.4204,9,77,84,5,5,0,52,51,76,84,un
taj,6,2014,0,0.0045,0,613,11.5,2.7233,17.4811,29,475,20,56,56,0,27,54,471,20,un
aho,6,2015,0,0.0014,0,566,10,3.1581,16.1917,6,81,58,160,159,0,128,135,93,57,un
bgu,6,2015,2,0.0037,0,427,13.1,4.6602,19.2316,65,276,17,118,119,0,4,75,272,16,brb
csp,6,2015,1,4e-04,0.62,490,10.9,3.5005,18.175,35,278,6,40,42,0,132,63,282,6,bri
gob,6,2015,0,4e-04,0,419,9.2,3.0973,17.7559,14,116,25,200,201,0,73,14,120,25,un
ral,6,2015,1,4e-04,0,595,10.7,3.2143,15.739,20,233,323,12,13,0,1,22,241,322,bri
rom,6,2015,0,4e-04,0,1236,11.1,4.7807,17.7137,16,278,181,48,48,0,659,57,308,179,un
srl,6,2015,2,0.0037,0.25,556,13.4,4.2725,19.3654,128,183,0,46,52,0,87,367,177,0,brb
sru,6,2015,1,0.0036,0,319,11.9,4.9919,19.2102,62,116,0,62,62,0,82,112,117,0,bri
sys,6,2015,0,4e-04,0,213,9.2,1.3005,16.9812,117,35,95,2,6,0,29,169,30,95,un
taj,6,2015,0,0.0013,0,608,14.6,1.3543,17.8534,20,253,25,42,49,0,138,131,267,26,un
aho,6,2016,0,0.0046,0,378,11.1,4.2918,16.455,13,212,15,96,96,0,20,33,227,15,un
bgu,6,2016,2,0.0036,0,1526,8.9,6.961,18.4176,115,354,40,1104,1107,0,1,135,359,39,brb
ral,6,2016,1,1e-04,0.34,486,12.9,4.0665,17.3502,4,218,121,11,13,0,30,102,218,121,bri
rom,6,2016,0,1e-04,0,2833,11.5,4.6206,17.9538,31,264,298,24,24,1,2116,130,293,298,un
sjo,6,2016,0,0.0106,0,241,11,2.5453,17.9982,8,120,64,19,19,0,17,25,122,65,un
sru,6,2016,1,0.0036,0,360,10.6,3.7051,18.854,130,79,10,170,172,0,51,180,77,10,bri
sys,6,2016,0,1e-04,0,439,10.7,1.9207,16.3007,109,93,232,12,14,0,51,159,92,232,un
taj,6,2016,0,0.004,0,1221,8.9,5.4421,15.044,7,70,2,215,215,0,847,36,110,2,un
bgu,6,2017,2,0.0969,0,678,8,1.1129,19.218,303,222,8,404,405,0,0,345,223,8,brb
csp,6,2017,1,0.0145,0.5,925,11,3.8361,16.0049,187,341,100,483,483,0,1,118,409,100,bri
ecm,6,2017,3,1.7343,0.5,5230,4.3,2.0326,20.9239,4,111,10,5076,5079,2,31,4,109,9,bdf
gob,6,2017,0,0.0149,0.56,376,10.1,4.5994,16.084,24,330,17,26,26,0,0,14,342,17,un
mrn,6,2017,1,0.0969,0,543,6.8,4.1132,18.675,299,449,13,64,64,0,2,310,450,13,bri
ral,6,2017,1,0.0153,0,424,11.4,2.2702,15.8112,21,191,0,206,206,0,0,37,200,1,bri
rau,6,2017,1,0.0153,0,775,9.6,2.9149,15.8447,62,326,390,24,24,2,0,70,349,390,bri
ref,6,2017,2,1.7515,0.52,17549,3.3,8.5865,19.8839,90,484,1,17013,17014,4,25,74,521,1,brb
rom,6,2017,0,0.0147,0,562,12.8,2.04,16.0523,19,255,223,56,56,0,5,21,274,225,un
sau,6,2017,2,0.0962,0.52,4562,4.5,4.1153,21.7913,0,187,0,4352,4353,2,18,0,187,0,brb
sjo,6,2017,0,0.1237,0,592,11.3,3.1504,17.0491,14,469,43,17,17,0,40,29,476,44,un
sol,6,2017,0,0.1526,NA,847,8.8,3.6096,15.648,24,365,271,189,189,0,0,24,388,270,un
sou,6,2017,0,0.1526,0,668,8.6,5.0701,15.4146,4,457,88,106,106,0,0,4,475,87,un
srl,6,2017,2,0.0958,0.52,376,7.8,4.0435,19.4419,294,51,0,20,20,2,5,574,68,0,brb
sru,6,2017,1,0.0958,0,233,10.6,2.1436,19.0411,174,114,2,29,29,0,0,229,147,2,bri
syc,6,2017,1,0.0145,0,567,8.8,5.1866,18.8586,193,348,4,174,174,0,17,216,348,4,bri
sys,6,2017,0,0.0147,0,577,10.7,1.4104,16.1443,114,158,317,75,75,1,0,140,162,313,un
taj,6,2017,0,0.1554,0,4005,7.6,7.276,19.5463,168,530,0,2997,2997,0,424,219,532,0,un
bgu,6,2018,2,0.0093,0,550,11.6,4.5708,16.54,103,350,26,100,100,0,29,115,379,26,brb
csp,6,2018,3,0.0921,0.25,1463,11,6.4867,20.4366,179,231,2,1105,1234,0,0,179,225,1,bdf
ecm,6,2018,3,0.0909,0,1519,12.3,3.3914,17.6387,101,124,5,843,1112,269,0,101,133,5,bdf
gob,6,2018,3,0.0934,0.08,231,9.3,2.7337,18.1922,4,29,0,200,201,2,0,4,27,0,bdf
mrn,6,2018,1,0.0095,0.17,401,10.6,2.8389,17.0863,58,324,11,3,13,0,12,87,324,11,bri
ral,6,2018,1,0.0028,0,403,11,3.9268,16.4308,11,359,11,22,23,1,1,11,364,11,bri
rau,6,2018,1,0.0028,0,316,8.8,3.5676,18.1848,8,273,7,6,6,0,0,33,278,7,bri
ref,6,2018,2,0.2656,0,1156,9.2,5.0175,19.5243,32,373,4,457,457,2,0,351,372,1,brb
rom,6,2018,3,0.0915,0,538,11.6,3.1454,17.8022,314,136,11,368,390,5,1,314,130,11,bdf
sau,6,2018,2,0.0096,0.08,371,6.7,1.6681,19.5044,450,193,0,11,11,0,31,584,194,0,brb
sjo,6,2018,0,0.009,0,714,9.8,4.9078,18.401,5,428,125,130,131,0,10,26,418,125,un
sou,6,2018,0,0.0152,0,756,9.7,3.0987,16.0953,1,407,172,168,172,0,1,9,405,170,un
srl,6,2018,2,0.0098,0.08,568,4.5,5.976,19.5,284,254,0,1,5,0,4,589,254,0,brb
sru,6,2018,1,0.0098,0,565,8,1.3838,19.0888,48,164,0,37,37,0,1,406,157,0,bri
syc,6,2018,1,0.0027,0,651,10.8,4.2839,19.2149,79,428,5,22,24,0,105,167,409,3,bri
sys,6,2018,3,0.0912,0,2553,6.1,5.5829,18.9686,300,207,1,2329,2342,1,0,303,205,1,bdf
taj,6,2018,0,0.0141,0,1215,10.3,2.9709,16.5672,60,488,0,159,159,0,510,94,496,0,un
bgu,6,2020,2,0.0362,0,448,11.9,3.5204,17.8169,54,329,81,15,17,0,1,83,317,80,brb
csp,6,2020,3,0.0491,0,803,8.4,3.403,19.8199,154,36,0,748,749,19,0,154,34,0,bdf
ecm,6,2020,3,0.0458,0,1677,8.5,3.1734,21.3581,208,95,46,1520,1529,7,0,209,95,44,bdf
ral,6,2020,1,0.0064,0,461,12.7,2.3016,15.9068,14,145,227,78,76,3,0,13,160,223,bri
ref,6,2020,2,0.0545,0,1907,14.1,4.6422,19.9388,208,606,178,977,981,1,0,350,576,178,brb
rom,6,2020,3,0.0471,0,2096,6.2,4.8188,21.255,361,88,2,1929,1941,62,0,361,88,4,bdf
sau,6,2020,2,0.0361,0.17,463,10.3,1.7591,19.5121,53,236,4,98,217,0,0,59,234,4,brb
sou,6,2020,0,0.0532,0,681,13.9,3.1396,16.1934,9,243,203,227,211,0,0,48,230,201,un
srl,6,2020,2,0.0378,0.17,330,6.8,4.423,19.0934,652,228,3,17,17,4,0,731,220,2,brb
sru,6,2020,1,0.0336,0,245,13.1,2.0012,17.7169,28,149,29,34,34,0,0,61,148,29,bri
sys,6,2020,3,0.0477,0,579,7.3,2.5738,21.9643,101,48,0,520,522,9,0,101,48,0,bdf
