effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),281.7867977896874,89.63675903818216,3.1436522338972113,23.659703505384876,0.004
fixed,NA,yr_moB-20093,117.81320221031247,87.73366276098146,1.3428506060584597,22.95478409130529,0.192
fixed,NA,yr_moC-20096,10.333333333333163,92.16188400818139,0.11212155051448225,20.10048703301143,0.912
fixed,NA,yr_moD-20099,-105.33333333333339,92.16188400818139,-1.1429164504057094,20.100487033483667,0.267
fixed,NA,yr_moE-20106,7.999999999999888,92.16188400818142,0.08680378104347032,20.10048703385221,0.932
fixed,NA,troutB-absent,60.54997593585752,114.07273724631806,0.5308014640265144,22.963124569733594,0.601
fixed,NA,yr_moB-20093:troutB-absent,271.36929683028933,112.2178871201832,2.4182356645127174,22.27917167408687,0.024
fixed,NA,yr_moC-20096:troutB-absent,314.8200084245036,120.19435056818197,2.619257951278812,20.340945955347284,0.016
fixed,NA,yr_moD-20099:troutB-absent,403.0854448829993,125.43018076438402,3.2136240450787557,20.458097425995582,0.004
fixed,NA,yr_moE-20106:troutB-absent,138.67942864561118,122.86234528456784,1.1287382503110175,21.456704381676982,0.271
ran_pars,code,sd__(Intercept),120.1186257121009,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,112.87479477680662,NA,NA,NA,NA
